51300073714,cgb,48,187
51300082640,bee,191,20
51300112939,ggd,98,248
51300136760,fca,161,285
51300160552,fcc,53,266
51300161040,ged,1,46
51300191430,cgc,119,233
51300233966,baf,91,7
51300301847,gde,265,161
51300311478,daa,75,239
51300314568,gaa,218,69
51300327355,gfc,186,20
51300405912,ebd,125,156
51300409708,cca,264,239
51300416705,cfb,138,73
51300455527,fdg,158,104
51300462440,eef,113,245
51300481373,gga,174,91
51300493622,agf,32,103
51300521985,gcb,95,15
51300523104,adc,7,175
51300534323,fdd,268,33
51300546131,ggd,117,245
51300566905,deb,192,182
51300585827,egc,144,204
51300600291,eea,177,44
51300659575,acf,249,110
51300673729,gce,275,47
51300688882,cgg,85,85
51300693306,aeb,91,84
51300704714,eae,41,26
51300706082,eda,289,46
51300729266,faf,9,114
51300740898,gfe,48,102
51300744408,ddg,93,93
51300764201,dge,100,268
51300774470,bge,63,255
51300777922,gdf,280,111
51300791177,abd,272,116
51300799409,gaa,52,55
51300827446,cbe,53,192
51300839082,bbd,254,27
51300878159,cce,94,37
51300882901,gff,167,189
51300899352,bfb,285,156
51300953293,egg,14,24
51300979942,dcb,100,212
51300995464,bbd,107,26
51301029110,gfd,65,81
51301035514,cbg,167,283
51301050205,egc,243,187
51301067854,dfg,49,237
51301085868,adb,20,139
51301090390,acd,251,192
51301095911,efc,284,148
51301131404,agd,60,298
51301207443,ffb,179,131
51301299111,gcf,12,295
51301315626,dbf,282,162
51301390836,dbb,122,25
51301418990,ccc,154,156
51301435510,ddf,110,17
51301440254,eeg,119,98
51301482468,dcd,210,232
51301490787,daf,184,15
51301589808,bge,114,288
51301598360,gea,286,184
51301599407,dgf,275,74
51301627406,aea,222,291
51301636896,eca,4,18
51301646393,aca,296,297
51301700253,dfe,26,76
51301727838,aba,181,77
51301750129,eec,142,161
51301796793,caf,206,236
51301798936,aba,23,77
51301800075,ead,12,146
51301816290,bdc,239,196
51301984889,gff,220,198
51301992719,ecc,33,273
51302032033,fdf,228,104
51302075858,ecf,298,77
51302079202,aac,160,265
51302139534,ecc,183,270
51302159317,fed,183,39
51302165302,bbc,211,146
51302177603,dbe,101,94
51302181527,ccf,175,258
51302217227,gcb,268,14
51302256405,afe,160,95
51302274160,dgd,142,149
51302283538,aed,114,86
51302333199,dbe,112,80
51302343909,cee,211,149
51302359285,dbf,57,129
51302368295,fce,145,20
51302375717,ggc,208,182
51302400883,ffc,169,201
51302403403,bgg,149,257
51302413984,dfd,62,70
51302476927,afd,259,294
51302493359,ddg,241,106
51302502868,eaf,4,42
51302510255,bfe,274,38
51302512097,gbf,17,266
51302540405,cca,224,203
51302555498,feg,229,164
51302590544,aae,243,297
51302592250,dee,175,75
51302627638,efe,3,8
51302666360,dea,27,243
51302681766,aed,257,102
51302710060,eeb,114,10
